fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
2,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",-0.6669405307991553,,55,1,4,12,25.533749103546143,25.86671280860901,35,0.9903942606681053
2,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-0.7023438338062584,,55,55,4,12,290.9043798446655,293.8267731666565,40,0.8807070275004893
2,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.6445303741700078,2.0,55,55,4,12,30.22925090789795,30.603453874588013,40,0.8493342185028594
3,6,climatology,{},,,0,0,4,12,0.0,0.0095689296722412,0,0.9773512066491891
3,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,2.193450927734375e-05,0,1.3760303117553734
3,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.0517687797546386,0,0.9779514435846336
3,6,ols,{},,,56,56,4,12,0.0,0.3837969303131103,0,0.9482509672233057
3,6,ridge,"{""alpha"": 1000.0}",-0.7903726226734009,,56,56,4,12,4.472824811935425,4.804079055786133,13,0.9503750227709025
3,6,lasso,"{""alpha"": 0.316}",-0.7153747224437722,,56,0,4,12,8.95581579208374,9.293933153152466,13,0.9803788409086613
3,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.3}",-0.7153747224437722,,56,0,4,12,33.6044340133667,33.96251583099365,35,0.9803788409086613
3,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 5, ""max_features"": 0.5}",-0.8020301997014787,,56,56,4,12,424.8459210395813,435.72026014328,40,0.8276706247602048
3,6,xgboost,"{""max_depth"": 4, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""min_child_weight"": 1}",-0.7085815060903548,2.0,56,56,4,12,26.173176765441895,26.550392150878903,40,0.9426006332849092
4,6,climatology,{},,,0,0,4,12,0.0,0.0100660324096679,0,0.9804126751585553
4,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,12,0.0,2.8848648071289062e-05,0,1.3787903822260106
4,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,12,0.0,0.056100845336914,0,0.9814474971659722
4,6,ols,{},,,55,55,4,12,0.0,0.4089729785919189,0,0.956290494431491
4,6,ridge,"{""alpha"": 1000.0}",-1.128190125472021,,55,55,4,12,4.744652986526489,5.104267120361328,13,0.9578723480176138
4,6,lasso,"{""alpha"": 0.1}",-1.0209344756530134,,55,0,4,12,9.761765718460085,10.13604497909546,13,0.9828082782520559
4,6,elasticnet,"{""alpha"": 1.0, ""l1_ratio"": 0.1}",-1.0209344756530134,,55,0,4,12,38.23255109786987,38.60455012321472,35,0.9828082782520559
4,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.1180282170028242,,55,55,4,12,364.21044301986694,367.70404291152954,40,0.9013401649540798
4,6,xgboost,"{""max_depth"": 4, ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""min_child_weight"": 1}",-1.0186103691928283,0.0,55,55,4,12,27.118507146835327,33.479592084884644,40,0.15652695189639504
5,6,climatology,{},,,0,0,9,17,0.0,0.0126059055328369,0,0.9854150338123754
5,6,persistence,"{""spei3_column"": ""spei3""}",,,0,0,9,17,0.0,3.0040740966796875e-05,0,1.3751598605325042
5,6,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,9,17,0.0,0.0604281425476074,0,0.9861006599888641
5,6,ols,{},,,56,56,9,17,0.0,0.438849925994873,0,0.9642584722869179
5,6,ridge,"{""alpha"": 1000.0}",-1.3223871972358976,,56,56,9,17,5.062230587005615,5.449357986450195,13,0.9655197500298469
5,6,lasso,"{""alpha"": 0.1}",-1.1207285177084054,,56,0,9,17,11.378432989120483,11.768600702285768,13,0.9875860535771059
5,6,elasticnet,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",-1.1207285177084054,,56,0,9,17,42.33737778663635,42.745457887649536,35,0.9875860535771059
5,6,rf,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",-1.2810711197757398,,56,56,9,17,426.9099180698395,430.6039879322052,40,0.9016957652871299
5,6,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-1.10286606271477,2.0,56,56,9,17,32.68249702453613,33.165971994400024,40,0.9215284156647284
